type;item;regex_interno_permitido_descripcion
regex_caracteres_permitidos_internos;^(?:[a-z0-9-_*](?:[a-z0-9-_*]{0,61}[a-z0-9])?)(?:\.[a-z0-9-]+)*$;
regex_caracteres_denegados_internos;^\*\.;
regex_caracteres_denegados_internos;\*;
dominio_externo;leasingbancolombia.com;
dominio_externo;bancolombiainternacional.com;
dominio_externo;sufi.com.co;
dominio_externo;somosbancolombia.net;
dominio_externo;experienciasgh.com;
dominio_externo;puntosbancolombia.com;
dominio_externo;grupocibest.com;
dominio_externo;correobancolombia.com.co;
dominio_externo;mailgrupobancolombia.com.co;
dominio_externo;vinculadosgb.com;
dominio_externo;cibestcapital.com;
dominio_externo;cloudbancolombia.com;
dominio_externo;somosbancolombia.com.co;
dominio_externo;transaccionesbancolombia.com.co;
dominio_externo;transaccionesfactoringbancolombia.com;
dominio_externo;encuestasbancolombia.com;
dominio_externo;plink.com.co;
dominio_externo;sufidigital.com.co;
dominio_externo;nequi.com.co;
dominio_externo;nequi.com;
dominio_externo;nequi.co;
dominio_externo;zaswinremesas.com;
dominio_externo;documentosbancolombia.com;
dominio_externo;bancadigital.com.co;
dominio_externo;infobancolombia.com;
dominio_externo;infogrupobancolombia.com;
dominio_externo;tarjetasbancolombia.com;
dominio_externo;inboundgrupobancolombia.com;
dominio_externo;bancolombiapuertorico.com;
dominio_externo;grupo-bancolombia.com.co;
dominio_externo;grupobancolombia.com.co;
dominio_externo;bancolombia.com.co;
dominio_externo;ambientesbc.com;
dominio_externo;transaccionesbancolombia.com;
dominio_externo;grupobancolombia.com;
dominio_externo;bancolombiacapital.com;
dominio_externo;bancolombia.com;
dominio_interno;ambientesbc.lab;
dominio_interno;bancolombia.corp;
dominio_interno;bancolombia.com;
dominio_interno;clientesbancolombia.com;
dominio_interno;atmbancolombia.com;
dominio_interno;bancolombia-se.com;
dominio_interno;grupobancolombia.com;
dominio_interno;bancolombiacapital.com;
dominio_interno;gesbancolombia.local;
dominio_interno;ibmbancolombia.com;
dominio_interno;bamcolombia.corp;
dominio_interno;bancolombia.lab;
dominio_interno;banocolombia.corp;
dominio_interno;transaccionesbancolombia.com;
dominio_interno;ambientebc.lab;
dominio_interno;ambientecbc.lab;
dominio_interno;ambientes.bc;
dominio_interno;ambientesbc-se.com;
dominio_interno;ambientesbc.com;
dominio_interno;ambientesbc.corp;
dominio_interno;bancoagricola.com;
dominio_interno;apps.bancolombia.corp;
dominio_interno;apps.bancolombia.com;
dominio_interno;apps.ambientesbc.lab;
dominio_interno;apps.ambientesbc.com;
dominio_interno;idm.ambientesbc.lab;
dominio_interno;idm.bancolombia.corp;
dominio_interno;c1.cloudbancolombia.com;
dominio_interno;bancolombia.com.co;
dominio_interno;analitica.bancolombia.corp;
dominio_interno;ocpdes.ambientesbc.lab;
dominio_interno;sdwan.bancolombia.corp;
dominio_interno;apigateway-dev.bancolombia.corp;
dominio_interno;apigateway-qa.bancolombia.corp;
dominio_interno;apigateway.bancolombia.corp;
dominio_interno;app.ambientesbc.lab;
dominio_interno;ocpcer.ambientesbc.lab;
dominio_interno;apps.bancolombia.co;
dominio_interno;ocpprod.bancolombia.corp;
dominio_interno;openshift.bancolombia.corp;
dominio_interno;qa.bancolombia.corp;
dominio_interno;coes.bancolombia.corp;
dominio_interno;intranet.bancolombia.corp;
regex_interno_permitido;^[Pp][Bb][Aa]\w{10,14}\..*?$;P3-Estandar-Autopilot
regex_interno_permitido;^[Mm][BbNn]\w{12,14}\..*?$;P4-Estandar-MACBooks
regex_interno_permitido;^[lstxpabue][ktba]\d{3,4}[a-z]{3,4}\d{2}\..*?$;P5-Estandar-Estaciones-suc-especiales
regex_interno_permitido;^[lstxpabue]\d{3,4}[a-z]{2}\d{2}\..*?$;P6-Estandar-Estaciones-suc
regex_interno_permitido;^[lstxpabue][a-z]{1}[a-z]{3}[a-z]{1}[a-z]{1}[a-z]{3}\d{2}[v]\..*?$;P7-Estandar-Servidores-virtual
regex_interno_permitido;^[lstxpabue][a-z]{1}[a-z]{3}[a-z]{1}[a-z]{1}[a-z]{3}\d{2}[c]\..*?$;P8-Estandar-Servidores-cluster
regex_interno_permitido;^[lstxpabue][a-z]{1}[a-z]{3}[a-z]{1}[a-z]{1}[a-z]{3}\d{2}\..*?$;P9-Estandar-Servidores-datacenter
regex_interno_permitido;^[lstxpabue][a-z]{1}\d{1,3}[a-z]{1}pru\d{2}\..*?$;P10-Estandar-Servidores-sucursales-prueba
regex_interno_permitido;^[lstxpabue][a-z]{1}\d{1,3}[a-z]{1}[a-z]{3}\d{2}\..*?$;P11-Estandar-Servidores-sucursales
regex_interno_permitido;^vdi[a-z]{1}\d{1,4}\..*?$;P12-Estandar-Estaciones-VDR
regex_interno_permitido;^[pdmeritc][a-z]{1}\w{9,13}\..*?$;P13-Estandar-Estaciones-administrativas
regex_interno_permitido;^[sl][a-z]{1}cld[aw][pqd]\w{1,3}\d{2}.*?$;P17-Estandar-EC2-fijas
regex_interno_permitido;^[sl][a-z]{1}[aw][pqd]\w{1,4}\-\w*?\..*?;P18-Estandar-EC2-ASG
